50
city0 city1 city2 city3 city4 city5 city6 city7 city8 city9 city10 city11 city12 city13 city14 city15 city16 city17 city18 city19 city20 city21 city22 city23 city24 city25 city26 city27 city28 city29 city30 city31 city32 city33 city34 city35 city36 city37 city38 city39 city40 city41 city42 city43 city44 city45 city46 city47 city48 city49 
46 83 9 66 67 29 28 8 3 63 28 70 0 92 6 70 38 51 76 89 87 30 83 39 86 94 83 44 46 39 76 48 3 50 50 61 57 37 52 55 77 52 43 75 52 72 65 42 34 72 
24 72 7 31 60 42 82 22 91 11 20 1 92 0 28 34 25 66 17 11 41 8 66 46 68 79 16 68 15 43 10 33 56 18 2 78 88 58 10 51 22 49 93 69 30 79 12 8 62 97 
68 57 44 37 17 7 47 67 24 94 93 66 6 28 0 18 12 44 91 32 83 89 43 65 92 46 17 24 54 55 53 72 59 18 35 32 97 20 18 8 72 5 25 85 13 50 14 17 21 49 
63 72 58 12 58 85 53 79 49 69 34 63 70 34 18 0 79 64 40 88 93 2 18 40 16 32 51 40 25 64 57 31 20 92 66 97 52 86 82 3 75 33 89 26 73 29 46 23 44 52 
17 64 27 45 70 30 51 32 31 75 6 61 38 25 12 79 0 41 88 16 54 41 36 30 18 27 10 40 61 81 76 24 1 75 89 75 81 67 23 15 24 61 27 85 39 64 98 93 25 9 
45 53 5 72 87 23 73 52 3 11 77 84 51 66 44 64 41 0 18 77 64 40 49 81 49 54 77 96 32 63 39 11 63 3 92 28 57 42 33 81 83 27 28 83 57 46 21 77 95 75 
95 25 88 46 62 2 2 97 67 54 45 86 76 17 91 40 88 18 0 44 64 45 89 74 35 73 31 64 25 90 2 11 68 32 19 30 64 7 17 51 84 74 45 30 49 29 94 98 1 11 
18 41 76 34 77 70 82 45 26 77 51 85 89 11 32 88 16 77 44 0 99 75 10 34 62 15 73 22 20 61 45 56 8 11 67 91 23 93 53 88 74 83 12 27 84 62 57 99 45 62 
91 8 29 5 36 37 29 78 56 48 56 72 87 41 83 93 54 64 64 99 0 86 32 39 39 12 58 93 99 2 84 47 82 48 1 29 28 16 88 55 75 45 40 39 42 82 65 63 54 31 
71 94 61 25 68 63 45 78 61 26 96 45 30 8 89 2 41 40 45 75 86 0 12 31 7 29 89 63 33 7 46 56 7 94 83 39 59 11 15 57 35 44 88 14 50 53 28 4 80 7 
87 30 53 41 97 32 30 5 68 1 34 26 83 66 43 18 36 49 89 10 32 12 0 7 71 70 99 46 34 22 45 96 61 99 93 2 90 40 60 47 70 79 21 10 50 13 93 69 65 86 
56 23 34 79 33 46 42 5 78 52 28 77 39 46 65 40 30 81 74 34 39 31 7 0 41 58 63 18 64 35 57 2 2 13 89 7 70 57 36 69 62 48 64 17 35 47 24 54 63 80 
75 2 45 74 33 77 22 25 82 42 1 21 86 68 92 16 18 49 35 62 39 7 71 41 0 71 35 31 45 64 72 93 97 77 56 29 26 58 68 29 91 91 24 65 88 88 31 87 75 84 
99 43 22 85 23 66 71 65 55 61 71 90 94 79 46 32 27 54 73 15 12 29 70 58 71 0 20 57 46 33 22 37 5 66 83 89 46 71 67 12 25 33 98 54 4 91 96 2 33 52 
33 2 77 26 39 81 24 67 9 88 43 88 83 16 17 51 10 77 31 73 58 89 99 63 35 20 0 98 19 29 72 17 25 29 8 8 48 16 14 87 62 57 26 19 76 91 36 37 11 16 
32 43 69 31 85 66 8 52 81 62 26 91 44 68 24 40 40 96 64 22 93 63 46 18 31 57 98 0 12 86 1 51 63 88 22 21 61 16 16 6 41 2 52 33 8 84 84 66 71 99 
21 24 38 57 79 13 91 55 3 37 32 59 46 15 54 25 61 32 25 20 99 33 34 64 45 46 19 12 0 7 95 12 63 36 42 96 1 35 5 27 52 39 30 54 18 37 12 52 95 24 
15 64 19 24 66 48 1 75 40 51 48 20 39 43 55 64 81 63 90 61 2 7 22 35 64 33 29 86 7 0 43 94 18 10 63 21 69 64 39 12 22 99 73 77 38 69 53 86 35 5 
96 83 67 66 65 97 9 47 91 32 97 58 76 10 53 57 76 39 2 45 84 46 45 57 72 22 72 1 95 43 0 31 39 82 54 31 26 36 19 85 29 35 91 35 25 99 1 95 93 32 
84 42 16 96 95 23 39 90 81 79 19 34 48 33 72 31 24 11 11 56 47 56 96 2 93 37 17 51 12 94 31 0 11 64 49 51 6 81 59 97 36 89 87 97 21 65 42 99 36 19 
58 40 90 15 3 17 36 44 3 43 8 62 3 56 59 20 1 63 68 8 82 7 61 2 97 5 25 63 63 18 39 11 0 27 70 21 49 59 59 8 72 45 42 16 67 77 58 2 98 96 
79 41 51 63 61 88 96 55 90 31 42 68 50 18 18 92 75 3 32 11 48 94 99 13 77 66 29 88 36 10 82 64 27 0 52 78 97 68 38 93 83 58 45 77 21 37 57 50 32 6 
39 71 39 92 22 97 31 83 20 54 20 41 50 2 35 66 89 92 19 67 1 83 93 89 56 83 8 22 42 63 54 49 70 52 0 26 64 79 59 64 81 54 17 18 74 35 33 20 25 20 
72 58 60 41 95 54 30 85 71 79 32 31 61 78 32 97 75 28 30 91 29 39 2 7 29 89 8 21 96 21 31 51 21 78 26 0 63 95 20 92 46 23 66 94 83 74 62 34 82 88 
70 54 1 74 56 83 5 94 54 53 40 12 57 88 97 52 81 57 64 23 28 59 90 70 26 46 48 61 1 69 26 6 49 97 64 63 0 49 38 76 38 32 28 62 69 55 29 18 30 97 
55 17 95 38 9 98 3 10 34 48 86 52 37 58 20 86 67 42 7 93 16 11 40 57 58 71 16 16 35 64 36 81 59 68 79 95 49 0 44 61 3 31 78 24 75 20 9 55 17 83 
96 12 80 41 64 56 12 85 79 66 66 94 52 10 18 82 23 33 17 53 88 15 60 36 68 67 14 16 5 39 19 59 59 38 59 20 38 44 0 58 45 17 16 8 39 54 36 69 45 63 
23 8 79 89 65 9 25 65 30 58 71 18 55 51 8 3 15 81 51 88 55 57 47 69 29 12 87 6 27 12 85 97 8 93 64 92 76 61 58 0 49 19 19 65 29 28 45 67 89 69 
68 19 36 17 87 20 40 62 17 29 89 5 77 22 72 75 24 83 84 74 75 35 70 62 91 25 62 41 52 22 29 36 72 83 81 46 38 3 45 49 0 76 33 83 60 86 59 64 93 90 
45 34 2 95 7 66 29 7 48 66 39 45 52 49 5 33 61 27 74 83 45 44 79 48 91 33 57 2 39 99 35 89 45 58 54 23 32 31 17 19 76 0 58 80 1 60 91 35 84 3 
44 6 13 84 9 77 98 50 46 50 56 74 43 93 25 89 27 28 45 12 40 88 21 64 24 98 26 52 30 73 91 87 42 45 17 66 28 78 16 19 33 58 0 37 22 44 39 21 71 33 
25 18 97 99 5 45 10 74 25 46 22 10 75 69 85 26 85 83 30 27 39 14 10 17 65 54 19 33 54 77 35 97 16 77 18 94 62 24 8 65 83 80 37 0 40 7 42 84 58 18 
40 66 41 27 56 74 7 27 19 71 18 44 52 30 13 73 39 57 49 84 42 50 50 35 88 4 76 8 18 38 25 21 67 21 74 83 69 75 39 29 60 1 22 40 0 83 78 96 15 88 
56 18 58 28 98 99 58 60 64 51 77 12 72 79 50 29 64 46 29 62 82 53 13 47 88 91 91 84 37 69 99 65 77 37 35 74 55 20 54 28 86 60 44 7 83 0 81 32 33 35 
7 20 74 50 3 92 40 4 68 83 1 43 65 12 14 46 98 21 94 57 65 28 93 24 31 96 36 84 12 53 1 42 58 57 33 62 29 9 36 45 59 91 39 42 78 81 0 9 97 80 
43 74 97 40 36 65 96 90 45 73 80 26 42 8 17 23 93 77 98 99 63 4 69 54 87 2 37 66 52 86 95 99 2 50 20 34 18 55 69 67 64 35 21 84 96 32 9 0 32 72 
11 81 27 79 81 89 62 30 52 84 90 7 34 62 21 44 25 95 1 45 54 80 65 63 75 33 11 71 95 35 93 36 98 32 25 82 30 17 45 89 93 84 71 58 15 33 97 32 0 73 
73 61 69 1 23 22 47 49 75 13 85 37 72 97 49 52 9 75 11 62 31 7 86 80 84 52 16 99 24 5 32 19 96 6 20 88 97 83 63 69 90 3 33 18 88 35 80 72 73 0 
